ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
Standard1,NA,NA,Standard,October_2024,3,9.8,44.6561,49.1954,"Same as May 2024, Jan 2025, and Oct 2025"
Standard2,NA,NA,Standard,October_2024,1.5,7.3,6.7453,8.0028,"Same as May 2024, Jan 2025, and Oct 2025"
Standard3,NA,NA,Standard,October_2024,1.1,7.6,6.1658,7.331,"Same as May 2024, Jan 2025, and Oct 2025"
Standard4,NA,NA,Standard,October_2024,1.2,15,11.7761,14.1594,"Same as May 2024, Jan 2025, and Oct 2025"
Standard5,NA,NA,Standard,October_2024,0.7,15,4.4632,5.8993,"Same as May 2024, Jan 2025, and Oct 2025"
Standard6,NA,NA,Standard,October_2024,0.2,15,0.7428,1.2505,"Same as May 2024, Jan 2025, and Oct 2025"
1,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.9665,2.3359,
2,Montipora capitata,Resistant,Coral,January_2025,NA,NA,3.0887,3.7938,
3,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,0.9179,1.0693,
4,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.6692,1.9726,
12,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.2619,1.484,
19,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,2.7859,3.2644,
20,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.3102,1.6292,
26,Porites compressa,Resistant,Coral,January_2025,NA,NA,7.0388,7.7191,
27,Porites compressa,Susceptible,Coral,January_2025,NA,NA,7.277,7.9428,
28,Porites compressa,Resistant,Coral,January_2025,NA,NA,3.7392,4.2222,
29,Porites compressa,Susceptible,Coral,January_2025,NA,NA,2.2552,2.5622,
43,Porites compressa,Susceptible,Coral,January_2025,NA,NA,5.2994,5.8456,
44,Porites compressa,Resistant,Coral,January_2025,NA,NA,2.2447,2.5959,
201,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,4.9241,5.5738,
202,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.8253,2.1015,
203,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.7531,2.1704,
204,Montipora capitata,Resistant,Coral,January_2025,NA,NA,3.417,4.0071,
205,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.3191,1.5862,
206,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.2509,1.596,
209,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,0.9423,1.1999,
210,Montipora capitata,Resistant,Coral,January_2025,NA,NA,0.7689,1.0057,
211,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.6053,1.9811,
213,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.7415,2.1619,
214,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.0297,1.2761,
219,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,1.2186,1.435,
220,Montipora capitata,Resistant,Coral,January_2025,NA,NA,1.0966,1.3127,
221,Montipora capitata,Susceptible,Coral,January_2025,NA,NA,0.8228,1.0371,
225,Porites compressa,Susceptible,Coral,January_2025,NA,NA,2.9452,3.2948,
226,Porites compressa,Resistant,Coral,January_2025,NA,NA,3.5412,3.9831,
233,Porites compressa,Susceptible,Coral,January_2025,NA,NA,2.3022,2.5779,
234,Porites compressa,Resistant,Coral,January_2025,NA,NA,6.1887,6.9101,
235,Porites compressa,Susceptible,Coral,January_2025,NA,NA,4.9442,5.3785,
236,Porites compressa,Resistant,Coral,January_2025,NA,NA,4.2432,4.7537,
237,Porites compressa,Susceptible,Coral,January_2025,NA,NA,3.0731,3.4325,
238,Porites compressa,Resistant,Coral,January_2025,NA,NA,3.6948,4.1993,
239,Porites compressa,Susceptible,Coral,January_2025,NA,NA,2.9791,3.3535,
240,Porites compressa,Resistant,Coral,January_2025,NA,NA,2.6952,3.0507,
241,Porites compressa,Susceptible,Coral,January_2025,NA,NA,3.6646,4.0832,
242,Porites compressa,Resistant,Coral,January_2025,NA,NA,3.7539,4.1922,
243,Porites compressa,Susceptible,Coral,January_2025,NA,NA,4.3756,4.8705,
244,Porites compressa,Resistant,Coral,January_2025,NA,NA,4.9061,5.3914,
247,Porites compressa,Susceptible,Coral,January_2025,NA,NA,4.1734,4.6302,
248,Porites compressa,Resistant,Coral,January_2025,NA,NA,7.0531,7.7461,
Standard1,NA,NA,Standard,January_2025,3,9.8,44.6561,49.1954,"Same as May 2024, Oct 2024, and Oct 2025"
Standard2,NA,NA,Standard,January_2025,1.5,7.3,6.7453,8.0028,"Same as May 2024, Oct 2024, and Oct 2025"
Standard3,NA,NA,Standard,January_2025,1.1,7.6,6.1658,7.331,"Same as May 2024, Oct 2024, and Oct 2025"
Standard4,NA,NA,Standard,January_2025,1.2,15,11.7761,14.1594,"Same as May 2024, Oct 2024, and Oct 2025"
