Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
20240119_Phys_219,3D model (51762 faces),Mesh,24.17025675,5.124548615,5.21E-05,1.11E-05,0,0.000767767,0.000217914,1.23E-05,4.32E-06,9.51E-06,0,0,0,0,0,0,0,1.42E-06,5.68E-06,0,0,0.000280434,7.92E-05,0.000175355,0,5.54E-05,4.39E-06,4.16E-05,3.26E-07,0,0.000312396,6.61E-05,0.000308965,0,3.52E-06,7.30E-06,0,0,4.661358048,1.902339008,2.759019039,4.746282082,21.50601408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_220,3D model (38898 faces),Mesh,19.41339906,3.952865061,0,0,0,9.97E-05,0.000673599,2.76E-05,4.18E-05,3.10E-05,0,0,0,0,0,0,0,3.67E-07,7.59E-06,0,0,1.94E-05,4.84E-05,0.000245528,0,0.000231916,1.97E-05,0.000151303,1.12E-05,5.06E-07,4.12E-06,2.42E-05,0.000247448,0,2.58E-05,2.85E-05,0,1.61E-06,5.190244563,2.109177527,3.081067036,4.265872887,17.2848397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_221,3D model (53402 faces),Mesh,21.29399255,3.816386297,4.59E-07,8.75E-07,0,0.000310731,0.000469891,2.29E-05,1.51E-05,1.78E-05,7.79E-08,0,0,0,0,0,0,1.37E-06,8.44E-06,0,0,6.99E-05,7.55E-05,0.000280662,0,0.000157376,2.80E-05,7.59E-05,3.29E-06,0,2.43E-05,2.15E-05,0.000488198,9.07E-08,2.86E-05,2.20E-05,4.52E-06,1.91E-06,5.162147153,2.073064541,3.089082613,4.452905291,18.94403112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_225,3D model (59208 faces),Mesh,34.29266037,8.815382807,9.70E-06,0,0,2.09E-05,0.0008009,0.000786187,7.15E-05,1.35E-06,1.19E-05,2.34E-07,0,0,0,0,0,0,0,0,0,2.69E-05,0,2.80E-06,0,6.22E-07,0,7.79E-05,3.59E-08,1.66E-06,7.23E-05,0.000104189,0.000401955,1.07E-06,0.000781516,0.000217617,7.58E-06,3.06E-05,5.78087568,2.174145186,3.606730494,9.587070505,50.39956626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240119_Phys_226,3D model (67392 faces),Mesh,31.72903393,3.491732115,0,3.90E-08,0,2.73E-05,0.000338168,0.000575878,0.000616214,4.44E-06,8.31E-06,4.57E-06,0,0,0,0,0,0,0,0,0,7.52E-07,0,4.39E-06,0,6.79E-07,0,0.000110456,9.57E-07,0,0,4.02E-06,0.000273493,9.64E-08,0.000204426,0.000977165,2.91E-06,1.86E-05,7.616603773,2.159289314,5.457314459,9.82750239,26.89896229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
