sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
HB57,HB57_S187_L001_R1_001.fastq.gz,HB57_S187_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB58,HB58_S188_L001_R1_001.fastq.gz,HB58_S188_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB59,HB59_S181_L001_R1_001.fastq.gz,HB59_S181_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
HB60,HB60_S182_L001_R1_001.fastq.gz,HB60_S182_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,6.1,HB,May_2024,,,,,
RC01,RC01_S142_L001_R1_001.fastq.gz,RC01_S142_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC02,RC02_S143_L001_R1_001.fastq.gz,RC02_S143_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC03,RC03_S128_L001_R1_001.fastq.gz,RC03_S128_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC04,RC04_S129_L001_R1_001.fastq.gz,RC04_S129_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC05,RC05_S162_L001_R1_001.fastq.gz,RC05_S162_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC06,RC06_S163_L001_R1_001.fastq.gz,RC06_S163_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC07,RC07_S156_L001_R1_001.fastq.gz,RC07_S156_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
